"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Elbasheer, M.; Longo, F.; Mirabelli, G.; Solina, V.","Elbasheer, Mohaiad (57222164337); Longo, Francesco (57201515306); Mirabelli, Giovanni (7003506850); Solina, Vittorio (57197733652)","57222164337; 57201515306; 7003506850; 57197733652","Flexible Symbiosis for Simulation Optimization in Production Scheduling: A Design Strategy for Adaptive Decision Support in Industry 5.0","2024","Journal of Manufacturing and Materials Processing","8","6","275","","","0","3","10.3390/jmmp8060275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213223406&doi=10.3390%2Fjmmp8060275&partnerID=40&md5=a012fa9e8d643affc92890b4d50972a4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85213223406"
"Andreozzi, M.; Bianchi, I.; Mancia, T.; Simoncini, M.","Andreozzi, Marina (58289740700); Bianchi, Iacopo (57224891649); Mancia, Tommaso (57208643589); Simoncini, Michela (14036658500)","58289740700; 57224891649; 57208643589; 14036658500","Investigation on the mechanical and environmental behaviour of 3D-printed molds for manufacturing of CFRP components","2024","International Journal of Advanced Manufacturing Technology","135","9-10","","4785","4802","0","0","10.1007/s00170-024-14778-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208916999&doi=10.1007%2Fs00170-024-14778-z&partnerID=40&md5=8eec731158bf3d9bb10b3a5c2413dc45","Article","Final","","Scopus","2-s2.0-85208916999"
"Tian, B.; Kaul, H.; Janardhanan, M.","Tian, Bo (59059033000); Kaul, Himanshu (55635298800); Janardhanan, Mukund (55874835700)","59059033000; 55635298800; 55874835700","Balancing heterogeneous assembly line with multi-skilled human-robot collaboration via Adaptive cooperative co-evolutionary algorithm","2024","Swarm and Evolutionary Computation","91","","101762","","","0","3","10.1016/j.swevo.2024.101762","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208484988&doi=10.1016%2Fj.swevo.2024.101762&partnerID=40&md5=7384ec983af4430f0811c8029c26c0bd","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85208484988"
"Cimino, A.; Longo, F.; Mirabelli, G.; Solina, V.; Veltri, P.","Cimino, Antonio (26027418700); Longo, Francesco (57201515306); Mirabelli, Giovanni (7003506850); Solina, Vittorio (57197733652); Veltri, Pierpaolo (58745351500)","26027418700; 57201515306; 7003506850; 57197733652; 58745351500","Enhancing internal supply chain management in manufacturing through a simulation-based digital twin platform","2024","Computers and Industrial Engineering","198","","110670","","","0","18","10.1016/j.cie.2024.110670","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207065956&doi=10.1016%2Fj.cie.2024.110670&partnerID=40&md5=ed213cb9116ead659b058b85c0a649ad","Article","Final","","Scopus","2-s2.0-85207065956"
"Santos, R.; Piqueiro, H.; Dias, R.; Rocha, C.D.","Santos, Romão F. (57214912210); Piqueiro, Henrique (58248819000); Dias, Rui Correia (57193354391); Rocha, Cláudia D. (57215857942)","57214912210; 58248819000; 57193354391; 57215857942","Transitioning trends into action: A simulation-based Digital Twin architecture for enhanced strategic and operational decision-making","2024","Computers and Industrial Engineering","198","","110616","","","0","11","10.1016/j.cie.2024.110616","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206816729&doi=10.1016%2Fj.cie.2024.110616&partnerID=40&md5=8d2bc3eaa5f4f4e1f3bd188f673e3cbb","Article","Final","","Scopus","2-s2.0-85206816729"
"Moon, S.; Lee, S.; Park, K.-J.","Moon, Sihoon (57735964100); Lee, Sanghoon (57216696166); Park, Kyung Joon (35220500600)","57735964100; 57216696166; 35220500600","Learning-enabled flexible job-shop scheduling for scalable smart manufacturing","2024","Journal of Manufacturing Systems","77","","","356","367","0","12","10.1016/j.jmsy.2024.09.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205666227&doi=10.1016%2Fj.jmsy.2024.09.011&partnerID=40&md5=0c3bc0796ce91cc40561c0a766c29404","Article","Final","","Scopus","2-s2.0-85205666227"
"Zhang, W.; He, S.; Zhang, X.; Zhao, X.","Zhang, Wenyu (57206987144); He, Shuguang (7402690929); Zhang, Xiaohong (56159268600); Zhao, Xing (58570102900)","57206987144; 7402690929; 56159268600; 58570102900","Joint optimization of job scheduling, condition-based maintenance planning, and spare parts ordering for degrading production systems","2024","Reliability Engineering and System Safety","252","","110447","","","0","12","10.1016/j.ress.2024.110447","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201642398&doi=10.1016%2Fj.ress.2024.110447&partnerID=40&md5=41f887843f33eb275134707c22942fb0","Article","Final","","Scopus","2-s2.0-85201642398"
"Rao, R.V.","Rao, Ravipudi Venkata (57196086213)","57196086213","BHARAT: A simple and effective multi-criteria decision-making method that does not need fuzzy logic, Part-1: Multi-attribute decision-making applications in the industrial environment","2024","International Journal of Industrial Engineering Computations","15","1","","13","40","0","13","10.5267/j.ijiec.2023.12.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180648137&doi=10.5267%2Fj.ijiec.2023.12.003&partnerID=40&md5=6b1da6cc59d1fb0442c5be260d639138","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85180648137"
"Rajendran, R.; Sudhakarapandian, S.","Rajendran, Ravishankar (59425615100); Sudhakarapandian, Ranjitharamasamy (58498877000)","59425615100; 58498877000","A Decision Framework for Selecting Highly Sustainable Packaging Circular Model in Mass-Customized Packaging Industry","2024","Applied Sciences (Switzerland)","14","22","10224","","","0","3","10.3390/app142210224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210268625&doi=10.3390%2Fapp142210224&partnerID=40&md5=1323a38bbbd150ea79ce7dcd7ee45b11","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210268625"
"Schmid, N.A.; Montreuil, B.; Limère, V.","Schmid, Nico André (57203787524); Montreuil, Benoît (7003796719); Limère, Veronique (26421266300)","57203787524; 7003796719; 26421266300","Modeling and solving integrated assembly line balancing, assembly line feeding, and facility sizing problems","2024","International Journal of Production Economics","277","","109354","","","0","7","10.1016/j.ijpe.2024.109354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203449973&doi=10.1016%2Fj.ijpe.2024.109354&partnerID=40&md5=40cdc537936501dbd75ac2bbae559bc0","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85203449973"
"Naderzadeh, Y.; Grosu, D.; Chinnam, R.B.","Naderzadeh, Yashar (57425583400); Grosu, Daniel (6508095974); Chinnam, Ratna Babu (7003422436)","57425583400; 6508095974; 7003422436","PPB-MCTS: A novel distributed-memory parallel partial-backpropagation Monte Carlo tree search algorithm","2024","Journal of Parallel and Distributed Computing","193","","104944","","","0","3","10.1016/j.jpdc.2024.104944","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197056444&doi=10.1016%2Fj.jpdc.2024.104944&partnerID=40&md5=11b1562764969c4a6c1e749774f7256a","Article","Final","","Scopus","2-s2.0-85197056444"
"Zhou, X.; Chae, D.-K.; Lee, S.-C.","Zhou, Xueyi (58568851200); Chae, Dong-kyu (55735568900); Lee, Sang-chul (55716356100)","58568851200; 55735568900; 55716356100","Practical algorithms for weakly flexible job scheduling for smart mold component process","2024","Future Generation Computer Systems","160","","","197","211","0","0","10.1016/j.future.2024.05.058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195286528&doi=10.1016%2Fj.future.2024.05.058&partnerID=40&md5=8ebedd56de450d0b67d27feb3add35b8","Article","Final","","Scopus","2-s2.0-85195286528"
"Yang, S.; Guo, H.; Huang, J.; Han, K.","Yang, Shuai (59378224100); Guo, Hongwei (55262455400); Huang, Jiaqi (59480967300); Han, Kexian (59481020200)","59378224100; 55262455400; 59480967300; 59481020200","A deep reinforcement learning based approach for dynamic job shop scheduling considering variable processing time","2024","","","","","368","374","0","0","10.1145/3690931.3690993","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212587515&doi=10.1145%2F3690931.3690993&partnerID=40&md5=2e94b4766bf9d5933895fc8b1a05741d","Conference paper","Final","","Scopus","2-s2.0-85212587515"
"Nejati, E.; Ghaedy-Heidary, E.; Ghasemi, A.; Torabi, S.A.","Nejati, Erfan (57219084426); Ghaedy-Heidary, Ensieh (58751140600); Ghasemi, Amir (57190121746); Torabi, S. Ali (8625505200)","57219084426; 58751140600; 57190121746; 8625505200","A machine learning-based simulation metamodeling method for dynamic scheduling in smart manufacturing systems","2024","Computers and Industrial Engineering","196","","110507","","","0","9","10.1016/j.cie.2024.110507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201920306&doi=10.1016%2Fj.cie.2024.110507&partnerID=40&md5=d145a8a64ae229814515bf736ced34ea","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85201920306"
"Zhang, X.; Sheng, G.; Chen, L.; Lu, X.; Ming, X.; Qiu, S.","Zhang, Xianyu (57207318254); Sheng, Guojun (59744941100); Chen, Lucheng (57212538608); Lu, Xiaoping (57271646400); Ming, Xingguo (7005300183); Qiu, Siqi (59796724100)","57207318254; 59744941100; 57212538608; 57271646400; 7005300183; 59796724100","A smart system of Mass Personalization Product Service System (MP-PSS) driven by industrial modular configuration","2024","Advanced Engineering Informatics","62","","102758","","","0","5","10.1016/j.aei.2024.102758","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200925312&doi=10.1016%2Fj.aei.2024.102758&partnerID=40&md5=65f6c342c7d7faef3a47c3de4352a6db","Article","Final","","Scopus","2-s2.0-85200925312"
"Yue, L.; Peng, K.; Ding, L.; Mumtaz, J.; Lin, L.; Zou, T.","Yue, Lei (36718453300); Peng, Kai (58619411400); Ding, Linshan (57203123658); Mumtaz, Jabir (57204833663); Lin, Libin (57222817400); Zou, Tao (58911077700)","36718453300; 58619411400; 57203123658; 57204833663; 57222817400; 58911077700","Two-stage double deep Q-network algorithm considering external non-dominant set for multi-objective dynamic flexible job shop scheduling problems","2024","Swarm and Evolutionary Computation","90","","101660","","","0","25","10.1016/j.swevo.2024.101660","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198718989&doi=10.1016%2Fj.swevo.2024.101660&partnerID=40&md5=946eb529bec40327e5948c078052f8e1","Article","Final","","Scopus","2-s2.0-85198718989"
"Marchesano, M.G.; Guizzi, G.; Converso, G.; Salatiello, E.; Popolo, V.","Marchesano, Maria Grazia (57265048800); Guizzi, Guido (57192642528); Converso, Giuseppe (55574298400); Salatiello, Emma (57926003100); Popolo, Valentina (57210817541)","57265048800; 57192642528; 55574298400; 57926003100; 57210817541","Optimizing Industrial Maintenance Scheduling Through Deep Reinforcement Learning and Simulation Integration","2024","Frontiers in Artificial Intelligence and Applications","389","","","263","276","0","0","10.3233/FAIA240374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217063856&doi=10.3233%2FFAIA240374&partnerID=40&md5=3ab54875298576be326e50ec782add89","Conference paper","Final","","Scopus","2-s2.0-85217063856"
"Patalas-Maliszewska, J.; Wisniewski, R.; Zhou, M.; Topczak, M.; Wojnakowski, M.","Patalas-Maliszewska, Justyna (36499655000); Wisniewski, Remigiusz (24484006200); Zhou, Mengchu Chu (7403506743); Topczak, Marcin (57215669797); Wojnakowski, Marcin (57205115260)","36499655000; 24484006200; 7403506743; 57215669797; 57205115260","APPLYING ADDITIVE MANUFACTURING TECHNOLOGIES TO A SUPPLY CHAIN: A PETRI NET–BASED DECISION MODEL","2024","International Journal of Applied Mathematics and Computer Science","34","3","","513","525","0","0","10.61822/amcs-2024-0035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206822653&doi=10.61822%2Famcs-2024-0035&partnerID=40&md5=4721a96df009234bd4e3ac03fa703aa9","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85206822653"
"Hao, H.; Zhu, H.","Hao, Haiqiang (57211785317); Zhu, Haiping (22037232100)","57211785317; 22037232100","A self-learning particle swarm optimization for bi-level assembly scheduling of material-sensitive orders","2024","Computers and Industrial Engineering","195","","110427","","","0","8","10.1016/j.cie.2024.110427","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200139174&doi=10.1016%2Fj.cie.2024.110427&partnerID=40&md5=f95c73316bf890ed3c364f0a665ffb61","Article","Final","","Scopus","2-s2.0-85200139174"
"Rangel-Martínez, D.; Ricardez–Sandoval, L.A.","Rangel-Martínez, Daniel (57237152400); Ricardez–Sandoval, Luis Alberto (21735243100)","57237152400; 21735243100","A recurrent reinforcement learning strategy for optimal scheduling of partially observable job-shop and flow-shop batch chemical plants under uncertainty","2024","Computers and Chemical Engineering","188","","108748","","","0","14","10.1016/j.compchemeng.2024.108748","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195371951&doi=10.1016%2Fj.compchemeng.2024.108748&partnerID=40&md5=d11db2037fd99ef15efcb91dd9d42fc6","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85195371951"
"Brundl, P.; Stoidner, M.; Nguyen, H.G.; Abrass, A.; Franke, J.","Brundl, Patrick (58521680600); Stoidner, Micha (58654292800); Nguyen, Huong Giang (57208528878); Abrass, Ahmad (36023232700); Franke, Jörg E. (57169710000)","58521680600; 58654292800; 57208528878; 36023232700; 57169710000","Optimization of Process, Knowledge, and Manufacturing Management in Customized Production: A Graph-Based Approach for Manufacturing Planning","2024","IFAC-PapersOnLine","58","19","","1174","1179","0","2","10.1016/j.ifacol.2024.09.103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208063559&doi=10.1016%2Fj.ifacol.2024.09.103&partnerID=40&md5=e7ed6f6bab0c141dd0427553580d2d3a","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85208063559"
"Hamiti, A.G.; Bouazza, W.; Laurent, A.; Mebarki, N.; Kenani, M.","Hamiti, Abdelhakim Ghiles (58783756200); Bouazza, Wassim (56523412100); Laurent, Arnaud (57188826361); Mebarki, Nasser (6701352440); Kenani, Mohamed (59393193100)","58783756200; 56523412100; 57188826361; 6701352440; 59393193100","Machine Learning prediction model for Dynamic Scheduling of Hybrid Flow-Shop based on Metaheuristic","2024","IFAC-PapersOnLine","58","19","","1228","1233","0","1","10.1016/j.ifacol.2024.09.077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208058917&doi=10.1016%2Fj.ifacol.2024.09.077&partnerID=40&md5=56bd39c63749220c2e8b39c22296a831","Conference paper","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85208058917"
"Corrêa, A.; Jesus, A.; Silva, C.; Peças, P.; Moniz, S.","Corrêa, Arthur (59393190600); Jesus, Alexandre (57193704761); Silva, Cristóvão (55995851100); Peças, P. (6602300004); Moniz, Samuel (16175756800)","59393190600; 57193704761; 55995851100; 6602300004; 16175756800","Rainbow Versus Deep Q-Network: A Reinforcement Learning Comparison on the Flexible Job-Shop Problem","2024","IFAC-PapersOnLine","58","19","","870","875","0","2","10.1016/j.ifacol.2024.09.176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208041486&doi=10.1016%2Fj.ifacol.2024.09.176&partnerID=40&md5=e7f5593d0f0a01b2498ed78a2e63edc4","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85208041486"
"De Simone, V.; Di Pasquale, V.; Iannone, R.; Miranda, S.","De Simone, Valentina (57222979368); Di Pasquale, Valentina (56550021000); Iannone, Raffaele (35269179500); Miranda, Salvatore (16070283100)","57222979368; 56550021000; 35269179500; 16070283100","""smart"" Lead Time Prediction in SMEs environments: A theoretical framework proposal","2024","IFAC-PapersOnLine","58","19","","911","916","0","2","10.1016/j.ifacol.2024.09.165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208023240&doi=10.1016%2Fj.ifacol.2024.09.165&partnerID=40&md5=da74f5c5b86a40a1bb22549d4f25ab5c","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85208023240"
"Tang, H.; Dong, J.","Tang, Hengliang (25936833700); Dong, Jinda (59162792900)","25936833700; 59162792900","Solving Flexible Job-Shop Scheduling Problem with Heterogeneous Graph Neural Network Based on Relation and Deep Reinforcement Learning","2024","Machines","12","8","584","","","0","5","10.3390/machines12080584","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202642909&doi=10.3390%2Fmachines12080584&partnerID=40&md5=9e176ca00e7dfee2164225218905d33b","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85202642909"
"He, Z.; Thürer, M.; Zhou, W.","He, Zhiliang (59177487200); Thürer, Matthias (35811259700); Zhou, Wanling (58525632200)","59177487200; 35811259700; 58525632200","The use of reinforcement learning for material flow control: An assessment by simulation","2024","International Journal of Production Economics","274","","109312","","","0","3","10.1016/j.ijpe.2024.109312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196277178&doi=10.1016%2Fj.ijpe.2024.109312&partnerID=40&md5=d93cd7d26d637d8fbe9e09356d2ed0ee","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85196277178"
"Ju, Z.; Wang, Y.; Quan, Z.; Liu, X.; Ji, Z.","Ju, Zeliang (59155164300); Wang, Yan (57215437327); Quan, Zhen (57654491800); Liu, Xiang (56673049800); Ji, Zhicheng (8383791400)","59155164300; 57215437327; 57654491800; 56673049800; 8383791400","Bottleneck alleviation and scheduling optimization of flexible manufacturing system based on information-energy flow model","2024","Swarm and Evolutionary Computation","89","","101600","","","0","6","10.1016/j.swevo.2024.101600","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195057624&doi=10.1016%2Fj.swevo.2024.101600&partnerID=40&md5=7938d38d2cbef96a4cdd3b97637bfb88","Article","Final","","Scopus","2-s2.0-85195057624"
"Wang, Z.; Liao, W.","Wang, Ziqing (58347528800); Liao, Wenzhu (23974947900)","58347528800; 23974947900","Smart scheduling of dynamic job shop based on discrete event simulation and deep reinforcement learning","2024","Journal of Intelligent Manufacturing","35","6","","2593","2610","0","37","10.1007/s10845-023-02161-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162916963&doi=10.1007%2Fs10845-023-02161-w&partnerID=40&md5=608b99e0e63904db0ccaa719c65a5889","Article","Final","","Scopus","2-s2.0-85162916963"
"Da Ros, F.; Di Gaspero, L.; Lackner, M.-L.; Musliu, N.","Da Ros, Francesca (58134137500); Di Gaspero, Luca (6505944235); Lackner, Marie Louise (57188717831); Musliu, Nysret (7801571378)","58134137500; 6505944235; 57188717831; 7801571378","Reducing Energy Consumption in Electronic Component Manufacturing through Large Neighborhood Search","2024","","","","","1706","1714","0","3","10.1145/3638530.3664132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201952996&doi=10.1145%2F3638530.3664132&partnerID=40&md5=6a1ce5b02093657fd3565711c1933945","Conference paper","Final","","Scopus","2-s2.0-85201952996"
"Su, C.; Zhang, C.; Wang, C.; Cen, W.; Chen, G.; Xie, L.","Su, Chupeng (57425005700); Zhang, Cong (57221301349); Wang, Chuang (57425878800); Cen, Weihong (57343500700); Chen, Gang (58604013700); Xie, Longhan (8218534100)","57425005700; 57221301349; 57425878800; 57343500700; 58604013700; 8218534100","Fast Pareto set approximation for multi-objective flexible job shop scheduling via parallel preference-conditioned graph reinforcement learning","2024","Swarm and Evolutionary Computation","88","","101605","","","0","17","10.1016/j.swevo.2024.101605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194182765&doi=10.1016%2Fj.swevo.2024.101605&partnerID=40&md5=f148806f5d0cdb2e83b42130d8cb3afe","Article","Final","","Scopus","2-s2.0-85194182765"
"Lu, S.; Wang, Y.; Kong, M.; Wang, W.; Tan, W.; Song, Y.","Lu, Shaojun (57200081390); Wang, Yongqi (57190586051); Kong, Min (57191228482); Wang, Weizhong (38262121100); Tan, Weimin (59000586700); Song, Yingxin (57211045277)","57200081390; 57190586051; 57191228482; 38262121100; 59000586700; 57211045277","A Double Deep Q-Network framework for a flexible job shop scheduling problem with dynamic job arrivals and urgent job insertions","2024","Engineering Applications of Artificial Intelligence","133","","108487","","","0","42","10.1016/j.engappai.2024.108487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191255375&doi=10.1016%2Fj.engappai.2024.108487&partnerID=40&md5=850dd07271fb28b482bf5c01da7d1845","Article","Final","","Scopus","2-s2.0-85191255375"
"Sun, X.; Chai, S.; Anand, A.; Zhu, L.","Sun, Xu (57197816635); Chai, Shiwei (57205640036); Anand, Paul (7102973448); Zhu, Lingjiong (55541209800)","57197816635; 57205640036; 7102973448; 55541209800","Enhancing Make-to-Order Manufacturing Agility: When Flexible Capacity Meets Dynamic Pricing","2024","Production and Operations Management","33","6","","1354","1372","0","2","10.1177/10591478241249122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200494794&doi=10.1177%2F10591478241249122&partnerID=40&md5=b094706fc50c4c303b144812a7edb45e","Article","Final","","Scopus","2-s2.0-85200494794"
"Liu, S.-F.; Wang, S.-Y.; Tung, H.-H.","Liu, Shuofang (13405858500); Wang, Shiyu (57218312133); Tung, Hsuehhung (59172401600)","13405858500; 57218312133; 59172401600","A Comprehensive Decision-Making Approach for Strategic Product Module Planning in Mass Customization","2024","Mathematics","12","11","1745","","","0","1","10.3390/math12111745","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195969479&doi=10.3390%2Fmath12111745&partnerID=40&md5=b78e00e67e28e34de72941cc17a7b0ef","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85195969479"
"Lassoued, S.; Schwung, A.","Lassoued, Sofiene (58898433600); Schwung, Andreas (26536568000)","58898433600; 26536568000","Introducing PetriRL: An innovative framework for JSSP resolution integrating Petri nets and event-based reinforcement learning","2024","Journal of Manufacturing Systems","74","","","690","702","0","13","10.1016/j.jmsy.2024.04.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192253912&doi=10.1016%2Fj.jmsy.2024.04.028&partnerID=40&md5=fdda077939919e39d4032339c48fd6f7","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85192253912"
"Li, C.; Zheng, P.; Zhou, P.; Yin, Y.; Lee, C.K.M.; Wang, L.","Li, Chengxi (57226701156); Zheng, Pai (56352424300); Zhou, Peng (57221249034); Yin, Yue (57700194200); Lee, Carman Ka Man (24468281700); Wang, Lihui (55080150600)","57226701156; 56352424300; 57221249034; 57700194200; 24468281700; 55080150600","Unleashing mixed-reality capability in Deep Reinforcement Learning-based robot motion generation towards safe human–robot collaboration","2024","Journal of Manufacturing Systems","74","","","411","421","0","21","10.1016/j.jmsy.2024.03.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190069993&doi=10.1016%2Fj.jmsy.2024.03.015&partnerID=40&md5=a51c6a2159900bc00fd8f53f6d8191ab","Article","Final","","Scopus","2-s2.0-85190069993"
"Herrera-Vidal, G.H.; Hernández, J.R.C.; Minnaard, C.","Herrera-Vidal, German (57193094721); Hernández, Jairo R.Coronado (58504644100); Minnaard, Claudia (57209096215)","57193094721; 58504644100; 57209096215","Measuring complexity in manufacturing systems: a new metric in flow shop (Fs) and job shop (Js) environments","2024","Production Engineering","18","3-4","","653","665","0","3","10.1007/s11740-023-01237-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178362352&doi=10.1007%2Fs11740-023-01237-z&partnerID=40&md5=ae89250ffcf03045294f49c798a34314","Article","Final","","Scopus","2-s2.0-85178362352"
"Tang, J.; Gong, G.; Peng, N.; Zhu, K.; Huang, D.; Luo, Q.","Tang, Jiuqiang (58753628800); Gong, Guiliang (57194086759); Peng, Ningtao (58196204400); Zhu, Kaikai (58195159200); Huang, Dan (56007593400); Luo, Qiang (57213472819)","58753628800; 57194086759; 58196204400; 58195159200; 56007593400; 57213472819","An effective memetic algorithm for distributed flexible job shop scheduling problem considering integrated sequencing flexibility","2024","Expert Systems with Applications","242","","122734","","","0","29","10.1016/j.eswa.2023.122734","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179121383&doi=10.1016%2Fj.eswa.2023.122734&partnerID=40&md5=ce59aef659bb97c1c0a588763d0b44f3","Article","Final","","Scopus","2-s2.0-85179121383"
"Zhang, K.; Gao, Q.; Lü, J.; Ogorzałek, M.; Deng, Y.","Zhang, Kexin (57220154949); Gao, Qing (51060985100); Lü, Jinhu (7601562455); Ogorzałek, Maciej J. (7004920034); Deng, Yue (55261847600)","57220154949; 51060985100; 7601562455; 7004920034; 55261847600","A Subgraph-Based Hierarchical Q-Learning Approach to Optimal Resource Scheduling for Complex Industrial Networks","2024","IEEE Transactions on Circuits and Systems","71","5","","2146","2156","0","12","10.1109/TCSI.2023.3328901","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178025982&doi=10.1109%2FTCSI.2023.3328901&partnerID=40&md5=09cd5f41849bebbf0e6521593949e51f","Article","Final","","Scopus","2-s2.0-85178025982"
"Monetti, F.M.; Bertoni, M.; Maffei, A.","Monetti, Fabio Marco (57363090300); Bertoni, Marco (7004012641); Maffei, Antonio (59675637300)","57363090300; 7004012641; 59675637300","A Systematic Literature Review: Key Performance Indicators on Feeding-as-a-Service","2024","Advances in Transdisciplinary Engineering","52","","","256","267","0","1","10.3233/ATDE240170","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191338996&doi=10.3233%2FATDE240170&partnerID=40&md5=a4856f067727a6bb81ca4a278f13b3ce","Conference paper","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85191338996"
"Pu, Y.; Li, F.; Rahimifard, S.","Pu, Yu (59003765800); Li, Fang (56366142800); Rahimifard, Shahin (6602344042)","59003765800; 56366142800; 6602344042","Multi-Agent Reinforcement Learning for Job Shop Scheduling in Dynamic Environments","2024","Sustainability (Switzerland)","16","8","3234","","","0","14","10.3390/su16083234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191462117&doi=10.3390%2Fsu16083234&partnerID=40&md5=519410ad68a7506314f1992b7befe966","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85191462117"
"Zhou, X.; Rao, W.; Liu, Y.; Sun, S.","Zhou, Xinmin (57861493600); Rao, Wenhao (58983349700); Liu, Yaqiong (57226191856); Sun, Shudong (56482524600)","57861493600; 58983349700; 57226191856; 56482524600","A Decentralized Optimization Algorithm for Multi-Agent Job Shop Scheduling with Private Information","2024","Mathematics","12","7","971","","","0","5","10.3390/math12070971","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190250875&doi=10.3390%2Fmath12070971&partnerID=40&md5=7024aee54fa4f76f8a14312348998f65","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85190250875"
"Elyasi, M.; Selcuk, Y.S.; Özener, O.Ö.; Çoban, E.","Elyasi, Milad (57209474509); Selcuk, Yagmur Selenay (58504323800); Özener, Okan Örsan (57215569521); Çoban, Elvin (36245330800)","57209474509; 58504323800; 57215569521; 36245330800","Imperialist competitive algorithm for unrelated parallel machine scheduling with sequence-and-machine-dependent setups and compatibility and workload constraints","2024","Computers and Industrial Engineering","190","","110086","","","0","12","10.1016/j.cie.2024.110086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188710439&doi=10.1016%2Fj.cie.2024.110086&partnerID=40&md5=4b559f5de61cacd0edca720a93648a4d","Article","Final","","Scopus","2-s2.0-85188710439"
